Group 1
4502681,4505073,2392
5350809,5352707,1898
5351850,5353950,2100
5381392,5383613,2221


Group 53
Start,End,Length
4547361,4549779,2418
4548458,4554355,5897
4550761,4556658,5897
5429846,5432264,2418


Group 54
Start,End,Length
4619098,4623081,3983
5313405,5317406,4001


Group 55
Start,End,Length
4828054,4829313,1259
5422191,5423450,1259


Group 56
Start,End,Length
4852939,4855732,2793
5267664,5270466,2802


Group 58
Start,End,Length
4989321,4994953,5632
4993672,4999304,5632


Group 59
Start,End,Length
5041988,5043571,1583
5425426,5427009,1583


Group 60
Start,End,Length
5111147,5112258,1111
5353774,5354885,1111


Group 61
Start,End,Length
5120201,5123363,3162
5378022,5381184,3162


Group 62
Start,End,Length
5122888,5124496,1608
5380385,5381993,1608


Group 63
Start,End,Length
5141451,5146550,5099
5331694,5336875,5181
5333887,5338285,4398
5337174,5341572,4398
5440015,5441199,1184


Group 64
Start,End,Length
5179900,5180684,784
5331076,5331860,784


Group 65
Start,End,Length
5194626,5196876,2250
5200140,5202390,2250


Group 66
Start,End,Length
5202091,5203449,1358
5205264,5206622,1358


Group 67
Start,End,Length
5289888,5294245,4357
5370248,5374605,4357


Group 68
Start,End,Length
5327650,5328747,1097
5437773,5438870,1097


